epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6806.22,1.16431,0.79033,1.18674,0.50594,0.43005,0.39662,0.1886,1.83036,1.47841,1.78474,0.000321875,0.000321875,0.000321875
77,7417.74,1.16267,0.79289,1.18543,0.48713,0.45136,0.40263,0.19382,1.8362,1.49896,1.78424,0.0003095,0.0003095,0.0003095
78,8653.31,1.16039,0.78228,1.17525,0.48212,0.43856,0.39626,0.18735,1.83341,1.5155,1.77898,0.000297125,0.000297125,0.000297125
79,9272.45,1.14887,0.76365,1.16975,0.48382,0.44878,0.38418,0.18513,1.83409,1.50787,1.7796,0.00028475,0.00028475,0.00028475
80,9933.41,1.14563,0.76846,1.17207,0.48042,0.45967,0.39461,0.19043,1.83221,1.50951,1.7857,0.000272375,0.000272375,0.000272375
81,10541.6,1.13221,0.75103,1.16335,0.50008,0.44356,0.39756,0.18683,1.84499,1.5275,1.80563,0.00026,0.00026,0.00026
82,11149.8,1.12904,0.75138,1.1581,0.50011,0.4499,0.39741,0.18948,1.84701,1.54387,1.81254,0.000247625,0.000247625,0.000247625
83,12149.2,1.12806,0.75791,1.15958,0.49403,0.45478,0.40076,0.19029,1.85236,1.53354,1.82436,0.00023525,0.00023525,0.00023525
84,26405.6,1.12248,0.74256,1.15179,0.50228,0.45476,0.40193,0.19348,1.8571,1.52536,1.83795,0.000222875,0.000222875,0.000222875
85,27055.8,1.12139,0.74352,1.15485,0.50835,0.45051,0.4048,0.19092,1.85853,1.52481,1.82936,0.0002105,0.0002105,0.0002105
86,27779.6,1.116,0.73451,1.15613,0.52995,0.43979,0.41006,0.19685,1.86149,1.54657,1.83435,0.000198125,0.000198125,0.000198125
87,28385.4,1.10771,0.73869,1.14945,0.50854,0.44515,0.39352,0.18747,1.85484,1.55527,1.84055,0.00018575,0.00018575,0.00018575
88,29237.9,1.1001,0.71564,1.14745,0.50781,0.44753,0.39445,0.1893,1.85727,1.5466,1.84158,0.000173375,0.000173375,0.000173375
89,30026.4,1.10265,0.71953,1.15149,0.49711,0.44684,0.39044,0.18707,1.86355,1.55815,1.85073,0.000161,0.000161,0.000161
90,31104,1.10539,0.71247,1.13995,0.49952,0.45463,0.39472,0.18975,1.86057,1.54905,1.83824,0.000148625,0.000148625,0.000148625
91,31729,1.11472,0.63838,1.12583,0.50165,0.44979,0.39471,0.18946,1.86675,1.58251,1.84912,0.00013625,0.00013625,0.00013625
92,32326.2,1.10518,0.62579,1.12509,0.49604,0.4491,0.38966,0.18681,1.86965,1.61717,1.86821,0.000123875,0.000123875,0.000123875
93,32923.2,1.08595,0.60937,1.11254,0.49653,0.44788,0.39146,0.18799,1.86896,1.6056,1.87631,0.0001115,0.0001115,0.0001115
94,33520.2,1.09115,0.60813,1.11094,0.49387,0.45267,0.38877,0.18628,1.87176,1.61684,1.87594,9.9125e-05,9.9125e-05,9.9125e-05
95,34117.6,1.07677,0.59857,1.1026,0.50739,0.4295,0.38683,0.18404,1.86741,1.61746,1.87795,8.675e-05,8.675e-05,8.675e-05
96,34714.6,1.073,0.59139,1.10259,0.49531,0.45536,0.38927,0.18487,1.87255,1.63597,1.88895,7.4375e-05,7.4375e-05,7.4375e-05
97,35311.6,1.06767,0.58699,1.10288,0.47305,0.46301,0.38993,0.18587,1.87342,1.63854,1.89281,6.2e-05,6.2e-05,6.2e-05
98,35909.4,1.06182,0.58284,1.09641,0.49233,0.43997,0.38405,0.18383,1.87583,1.65478,1.8913,4.9625e-05,4.9625e-05,4.9625e-05
99,36506.9,1.06099,0.5815,1.09816,0.50408,0.43236,0.38372,0.18337,1.88247,1.65105,1.90112,3.725e-05,3.725e-05,3.725e-05
100,37103.6,1.05543,0.58384,1.09582,0.4909,0.43945,0.38421,0.18279,1.88236,1.65746,1.9061,2.4875e-05,2.4875e-05,2.4875e-05
